Item #,Category,Description,Qty,Unit Price (₹),Unit Price ($),Total Price (₹),Total Price ($),Supplier / Platform,Reference File / Sourcing Link
1,Turnkey PCB & PCBA,"PCB Fabrication (3 pcs 4-Layer) + SMT Assembly Setup & Mounting (Invoice Net Total incl. GST)",1,10617.00,111.32,10617.00,111.32,pcbpower.com,https://www.pcbpower.com/
2,Electronic Components,"BOM Component Sourcing on pcbpower (1.5x batch volume across all 45 unique MPNs)",1,5519.84,57.88,5519.84,57.88,pcbpower.com / DigiKey,components_bom.csv
3,Battery Power,"Ultra Fast Charging 18650 3.7V 3000mAh Li-ion Battery with Connector & BMS Protection",1,580.00,6.08,580.00,6.08,Amazon India,https://www.amazon.in/Charging-18650-Rechargeable-Connector-Protection/dp/B0DBR36C91
4,Acoustic Transducers,"Electronic Spices 5 Inch 4 Ohm 25W Full-Range Woofer Speaker Drivers (Pair for Stereo)",2,389.00,4.08,778.00,8.16,Amazon India,https://www.amazon.in/-/hi/Electronic-Spices-%E0%A4%95%E0%A5%88%E0%A4%AC%E0%A4%BF%E0%A4%A8%E0%A5%87%E0%A4%9F-%E0%A4%B0%E0%A4%BF%E0%A4%AA%E0%A5%8D%E0%A4%B2%E0%A5%87%E0%A4%B8%E0%A4%AE%E0%A5%87%E0%A4%82%E0%A4%9F-%E0%A4%A1%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%87%E0%A4%B5%E0%A4%B0/dp/B0BN44KVVL
5,Data & Power Cable,"Anker PowerLine III Flow 100W USB-C to USB-C Silicone Cable (3ft / 1.0m)",1,786.00,8.24,786.00,8.24,Amazon India,https://www.amazon.in/-/hi/Anker-A8552/dp/B093GGVB89
,TOTAL,"Complete AuraForge 50X Prototype Kit (3 Bare PCBs + 1-2 Assembled Boards + Battery + Speakers + Cable)",,17891.84,187.60,18280.84,191.68,,
